customer_id,name,email,signup_date,city,country,age,gender,recency_days,frequency,monetary,avg_order_value,has_purchased,R_score,F_score,M_score,segment,purchase_freq_per_year,tenure_years,predicted_cltv
29,Victoria Garcia,zchandler@example.org,2022-08-23,Sydney,Australia,44.0,F,417.0,3,36670.47,12223.49,1,2,4,5,At Risk (High Value),1.001599634369287,2.3572895277207393,14093.14
30,Connor West,dwhite@example.org,2020-11-23,Los Angeles,USA,53.0,F,53.0,2,4031.86,2015.93,1,5,2,5,New/Promising,0.6677330895795247,4.1040383299110195,2697.71
31,Angela Morton,williamsyvette@example.org,2022-07-16,Melbourne,Australia,30.0,F,616.0,2,1405.86,702.93,1,2,2,3,Needs Attention,0.6677330895795247,2.461327857631759,564.14
33,Carmen Smith,ybaker@example.com,2022-03-15,Bangkok,Thailand,46.0,F,60.0,3,2435.81,811.94,1,5,4,4,Champions,1.001599634369287,2.7980835044490076,1111.18
34,Michael Cross,smoore@example.org,2019-07-18,Los Angeles,USA,43.0,M,316.0,2,1270.78,635.39,1,3,2,2,Needs Attention,0.6677330895795247,5.456536618754278,1130.49
35,Lauren Daniels,brian97@example.net,2022-10-11,New York,USA,57.0,F,27.0,3,1961.15,653.72,1,5,4,3,Loyal Customers,1.001599634369287,2.223134839151266,710.82
36,Kim Brown,yorkcasey@example.org,2019-08-12,Mumbai,India,28.0,F,138.0,3,3060.83,1020.28,1,4,4,4,Champions,1.001599634369287,5.388090349075975,2688.77
37,Cynthia Wilson,bethwilliams@example.org,2021-08-05,Vancouver,Canada,71.0,M,87.0,2,2112.58,1056.29,1,4,2,3,New/Promising,0.6677330895795247,3.405886379192334,1173.06
38,Kevin Mills,james53@example.com,2019-07-20,Munich,Germany,57.0,,207.0,2,945.44,472.72,1,3,2,2,Needs Attention,0.6677330895795247,5.451060917180014,840.22
39,Michael Evans,sarah10@example.com,2023-03-24,Bangkok,Thailand,26.0,M,280.0,1,753.53,753.53,1,3,1,2,Needs Attention,0.33386654478976235,1.7741273100616017,217.95
40,Kristine Garcia,williamanderson@example.com,2019-05-01,Bangkok,Thailand,,Other,123.0,1,1338.71,1338.71,1,4,1,2,New/Promising,0.33386654478976235,5.670088980150582,1237.53
41,Sherry Wood,samueldaniels@example.com,2021-07-20,Singapore,Singapore,43.0,M,402.0,1,976.57,976.57,1,2,1,2,Hibernating/Lost,0.33386654478976235,3.4496919917864477,549.24
42,Victoria Valdez,contrerasangela@example.net,2023-01-11,Sydney,Australia,25.0,F,345.0,2,3107.95,1553.98,1,3,2,4,Needs Attention,0.6677330895795247,1.9712525667351128,998.84
43,Shawn Baker,newtoneric@example.com,2022-01-15,Melbourne,Australia,63.0,M,613.0,3,1929.68,643.23,1,2,4,3,At Risk (High Value),1.001599634369287,2.9596167008898013,931.11
44,Michelle Harris,william40@example.org,2023-10-13,Bangkok,Thailand,,M,129.0,1,507.03,507.03,1,4,1,2,New/Promising,0.33386654478976235,1.218343600273785,100.71
45,Sandra Williams,kellie42@example.net,2022-05-03,Los Angeles,USA,59.0,Other,82.0,1,505.52,505.52,1,4,1,2,New/Promising,0.33386654478976235,2.6639288158795345,219.55
47,Sandra Aguilar,russellwilliams@example.com,2021-12-06,Paris,France,75.0,F,910.0,1,443.54,443.54,1,1,1,1,Hibernating/Lost,0.33386654478976235,3.0691307323750854,221.94
48,Rebecca Valencia,jason31@example.com,2021-03-21,Vancouver,Canada,58.0,Other,416.0,3,4677.35,1559.12,1,2,4,5,At Risk (High Value),1.001599634369287,3.780971937029432,2883.25
49,Stacey Russell,sarayoung@example.org,2019-05-29,Bangkok,Thailand,45.0,F,357.0,1,859.22,859.22,1,3,1,2,Needs Attention,0.33386654478976235,5.593429158110883,783.54
50,Rita Keith,whitesandra@example.com,2020-03-12,Munich,Germany,32.0,F,138.0,1,458.05,458.05,1,4,1,1,New/Promising,0.33386654478976235,4.804928131416838,358.82
51,Sharon Cochran,erik16@example.org,2021-01-26,Toronto,Canada,26.0,F,546.0,1,3160.71,3160.71,1,2,1,4,Needs Attention,0.33386654478976235,3.9288158795345653,2024.53
52,Courtney Velasquez,ybailey@example.org,2022-09-01,Singapore,Singapore,16.0,Other,290.0,2,2165.46,1082.73,1,3,2,3,Needs Attention,0.6677330895795247,2.3326488706365502,823.53
53,Matthew Ross,michelle45@example.net,2024-04-06,Los Angeles,USA,32.0,M,9.0,3,2520.05,840.02,1,5,4,4,Champions,1.001599634369287,0.7364818617385352,302.59
54,Meghan Anthony,sheila14@example.org,2020-07-31,Vancouver,Canada,29.0,M,73.0,4,2441.45,610.36,1,5,5,4,Champions,1.3354661791590494,4.418891170431212,1758.89
55,Victoria Johnson,yreed@example.com,2021-11-01,Vancouver,Canada,32.0,F,1081.0,1,41.76,41.76,1,1,1,1,Hibernating/Lost,0.33386654478976235,3.164955509924709,21.55
56,William Wilson,jonathanfletcher@example.org,2023-08-26,Manchester,UK,,M,103.0,3,3703.39,1234.46,1,4,4,4,Champions,1.001599634369287,1.3497604380561259,814.95
57,Renee Mcdaniel,michaeljones@example.net,2019-11-27,Vancouver,Canada,51.0,F,116.0,3,2271.34,757.11,1,4,4,3,Loyal Customers,1.001599634369287,5.0951403148528405,1886.75
58,Lisa Alvarado,cortezkevin@example.com,2022-11-16,Bangkok,Thailand,,M,98.0,2,3574.34,1787.17,1,4,2,4,New/Promising,0.6677330895795247,2.1245722108145104,1238.07
59,Erika Terry,jamesortega@example.com,2019-09-19,Manchester,UK,35.0,,29.0,1,545.26,545.26,1,5,1,2,New/Promising,0.33386654478976235,5.284052019164956,469.73
60,Stephanie Gilbert,richard04@example.com,2024-01-15,New York,USA,29.0,F,132.0,1,3627.5,3627.5,1,4,1,4,New/Promising,0.33386654478976235,0.9609856262833676,568.33
61,Richard Lawson,steven73@example.net,2023-12-16,Munich,Germany,55.0,F,196.0,2,1171.91,585.96,1,3,2,2,Needs Attention,0.6677330895795247,1.0431211498973305,199.3
63,Frances Cardenas,emilywalker@example.org,2024-03-21,Singapore,Singapore,67.0,F,260.0,1,1357.69,1357.69,1,3,1,2,Needs Attention,0.33386654478976235,0.7802874743326489,172.72
64,Angel Riggs,gibsonolivia@example.net,2023-06-01,Chicago,USA,40.0,F,66.0,3,2726.35,908.78,1,5,4,4,Champions,1.001599634369287,1.5852156057494866,704.61
65,Michael Snyder,dylanwatts@example.org,2024-02-24,Mumbai,India,38.0,F,18.0,1,1018.52,1018.52,1,5,1,2,New/Promising,0.33386654478976235,0.8514715947980835,141.39
66,Colleen Brock,pwilliams@example.org,2022-09-13,New York,USA,41.0,,244.0,3,25757.09,8585.7,1,3,4,5,Loyal Customers,1.001599634369287,2.299794661190965,9657.49
67,Robert Contreras,stephanie79@example.net,2020-12-20,Vancouver,Canada,48.0,M,638.0,2,2397.36,1198.68,1,2,2,4,Needs Attention,0.6677330895795247,4.030116358658453,1575.18
68,Jessica Meadows,vmerritt@example.com,2019-08-25,New York,USA,27.0,F,970.0,1,1559.33,1559.33,1,1,1,3,Needs Attention,0.33386654478976235,5.352498288843258,1360.73
69,Paul Larsen,katie87@example.net,2021-06-08,Paris,France,62.0,,99.0,2,2681.05,1340.52,1,4,2,4,New/Promising,0.6677330895795247,3.564681724845996,1558.13
70,Jeremiah Reeves,josephflores@example.net,2021-02-27,Los Angeles,USA,28.0,F,32.0,4,2787.15,696.79,1,5,5,4,Champions,1.3354661791590494,3.8412046543463383,1745.45
71,Chris Reyes,jasminebrown@example.com,2023-07-10,Bangkok,Thailand,59.0,M,420.0,2,2386.23,1193.12,1,2,2,4,Needs Attention,0.6677330895795247,1.4784394250513346,575.17
73,Alicia Gilmore,wwoods@example.com,2023-01-14,Los Angeles,USA,48.0,F,46.0,5,14570.22,2914.04,1,5,5,5,Champions,1.6693327239488118,1.9630390143737166,4663.08
76,Rebecca Ramsey,ncalhoun@example.net,2020-03-06,Vancouver,Canada,66.0,M,352.0,1,335.52,335.52,1,3,1,1,Needs Attention,0.33386654478976235,4.82135523613963,263.73
77,James Elliott,millerroy@example.com,2022-10-15,Berlin,Germany,48.0,M,56.0,1,438.44,438.44,1,5,1,1,New/Promising,0.33386654478976235,2.212183436002738,158.13
78,David Murphy,wmurphy@example.com,2022-09-11,Chicago,USA,34.0,F,412.0,2,3014.73,1507.36,1,2,2,4,Needs Attention,0.6677330895795247,2.305270362765229,1133.04
79,Trevor Fisher,ruizkaitlyn@example.org,2024-05-03,Mumbai,India,59.0,F,61.0,2,534.89,267.44,1,5,2,2,New/Promising,0.6677330895795247,0.6625598904859685,57.78
80,Mrs. Marie Harrington DDS,herringjames@example.org,2020-05-16,New York,USA,55.0,F,937.0,1,1749.06,1749.06,1,1,1,3,Needs Attention,0.33386654478976235,4.6269678302532515,1319.41
81,Cynthia Wells,elliottjeffery@example.net,2022-03-24,Sydney,Australia,61.0,F,248.0,2,1348.9,674.45,1,3,2,2,Needs Attention,0.6677330895795247,2.7734428473648185,609.93
82,Jacob Obrien,stricklandfrank@example.com,2022-11-09,Sydney,Australia,73.0,F,82.0,3,2565.23,855.08,1,4,4,4,Champions,1.001599634369287,2.1437371663244353,896.56
83,Alexander Collins,tsanders@example.org,2020-03-24,Manchester,UK,67.0,F,307.0,2,779.56,389.78,1,3,2,2,Needs Attention,0.6677330895795247,4.772073921971253,606.51
84,Michael Burton,terrykevin@example.net,2024-02-22,Toronto,Canada,45.0,M,10.0,2,3900.08,1950.04,1,5,2,5,New/Promising,0.6677330895795247,0.8569472963723477,544.89
86,Matthew Smith,gshort@example.com,2021-05-23,Munich,Germany,44.0,M,373.0,2,1786.04,893.02,1,2,2,3,Needs Attention,0.6677330895795247,3.6084873374401094,1050.74
88,Robert Medina,umarshall@example.net,2020-05-04,Sydney,Australia,44.0,F,893.0,1,338.4,338.4,1,1,1,1,Hibernating/Lost,0.33386654478976235,4.659822039698836,257.09
89,Samuel Rivas,ramirezshannon@example.com,2024-01-03,London,UK,21.0,M,53.0,6,4099.09,683.18,1,5,5,5,Champions,2.003199268738574,0.9938398357289527,664.17
90,Mary Rogers,lrosales@example.com,2020-03-14,Melbourne,Australia,42.0,F,13.0,3,1950.47,650.16,1,5,4,3,Loyal Customers,1.001599634369287,4.799452429842574,1526.2
91,Robert Peterson,angela83@example.org,2023-09-02,Toronto,Canada,40.0,M,83.0,2,4644.12,2322.06,1,4,2,5,New/Promising,0.6677330895795247,1.3305954825462012,1007.46
92,Jason Peters,hannahbrewer@example.com,2023-12-09,Mumbai,India,40.0,F,143.0,1,835.58,835.58,1,4,1,2,New/Promising,0.33386654478976235,1.0622861054072552,144.71
93,Alan Phillips,tholt@example.net,2023-10-14,Manchester,UK,50.0,M,253.0,3,2047.77,682.59,1,3,4,3,Loyal Customers,1.001599634369287,1.215605749486653,405.84
94,Kara Schmidt,jbarajas@example.com,2021-09-26,,Canada,33.0,F,87.0,5,7635.87,1527.17,1,4,5,5,Champions,1.6693327239488118,3.263518138261465,4062.77
95,Jesse Parker,davidlee@example.org,2023-06-23,Sydney,Australia,62.0,F,196.0,3,4848.67,1616.22,1,3,4,5,Loyal Customers,1.001599634369287,1.5249828884325805,1205.49
96,Tiffany Vaughn,javierwashington@example.net,2021-12-29,Paris,France,74.0,F,276.0,5,4741.06,948.21,1,3,5,5,Loyal Customers,1.6693327239488118,3.0061601642710474,2323.62
97,Paige Carlson,wallkenneth@example.com,2021-05-27,Sydney,Australia,71.0,F,729.0,3,4950.24,1650.08,1,1,4,5,At Risk (High Value),1.001599634369287,3.597535934291581,2903.42
99,Beth Oneill,agarcia@example.net,2021-05-13,,India,69.0,M,770.0,1,726.58,726.58,1,1,1,2,Hibernating/Lost,0.33386654478976235,3.6358658453114305,430.69
100,John Peterson,kingmichelle@example.org,2020-04-04,London,UK,20.0,M,261.0,3,3880.64,1293.55,1,3,4,4,Loyal Customers,1.001599634369287,4.741957563312799,3000.13
101,Jennifer Jones,hernandezlisa@example.com,2020-02-13,Toronto,Canada,55.0,M,146.0,3,3903.34,1301.11,1,4,4,5,Champions,1.001599634369287,4.8815879534565365,3106.52
102,David Grant,yobrien@example.net,2024-04-25,Paris,France,45.0,F,113.0,2,935.57,467.78,1,4,2,2,New/Promising,0.6677330895795247,0.6844626967830253,104.4
103,Joseph Hayes,levans@example.com,2024-05-27,Paris,France,65.0,F,33.0,1,216.83,216.83,1,5,1,1,New/Promising,0.33386654478976235,0.5968514715947981,21.1
104,Marc Lynch,mezajared@example.org,2024-03-17,New York,USA,52.0,F,133.0,2,1935.39,967.7,1,4,2,3,New/Promising,0.6677330895795247,0.7912388774811773,249.66
105,Brad Allen,moorericky@example.net,2020-02-11,Melbourne,Australia,53.0,F,225.0,4,3462.12,865.53,1,3,5,4,Loyal Customers,1.3354661791590494,4.887063655030801,2758.47
108,Derek Thomas,martinkyle@example.net,2021-05-10,Mumbai,India,22.0,M,186.0,4,1820.98,455.24,1,4,5,3,Loyal Customers,1.3354661791590494,3.6440793976728267,1081.85
109,Tammy Gonzales,sbarker@example.com,2022-12-19,Berlin,Germany,43.0,M,126.0,2,2538.02,1269.01,1,4,2,4,New/Promising,0.6677330895795247,2.0342231348391513,841.73
110,Kathryn Snyder,georgepamela@example.net,2023-07-14,Paris,France,65.0,M,361.0,2,2357.01,1178.51,1,3,2,3,Needs Attention,0.6677330895795247,1.4674880219028064,563.92
111,David Davis,keyemily@example.com,2020-10-22,Vancouver,Canada,69.0,F,131.0,1,3685.06,3685.06,1,4,1,4,New/Promising,0.33386654478976235,4.191649555099247,2518.3
112,Pamela Thompson,lmoon@example.net,2021-08-09,Singapore,Singapore,55.0,M,520.0,3,5012.86,1670.95,1,2,4,5,At Risk (High Value),1.001599634369287,3.3949349760438055,2774.56
113,Robert Costa,vbailey@example.com,2020-01-08,London,UK,29.0,F,467.0,2,985.19,492.6,1,2,3,2,Needs Attention,0.6677330895795247,4.980150581793292,799.92
114,Shannon Rivera,zroberts@example.net,2022-12-07,Paris,France,,F,96.0,1,1131.15,1131.15,1,4,1,2,New/Promising,0.33386654478976235,2.0670773442847366,381.2
115,Brandon King,cordovarichard@example.net,2021-04-12,Melbourne,Australia,51.0,M,224.0,1,1906.3,1906.3,1,3,1,3,Needs Attention,0.33386654478976235,3.7207392197125255,1156.38
116,April Booth,mgutierrez@example.net,2021-07-06,Berlin,Germany,21.0,F,610.0,1,1366.46,1366.46,1,2,1,2,Hibernating/Lost,0.33386654478976235,3.488021902806297,777.06
117,Peter Garrett,harrisandrea@example.com,2022-04-06,Sydney,Australia,46.0,,31.0,1,583.3,583.3,1,5,1,2,New/Promising,0.33386654478976235,2.737850787132101,260.36
118,Michael Martinez,jennifercollins@example.org,2020-11-08,Munich,Germany,60.0,F,605.0,3,2336.61,778.87,1,2,4,3,At Risk (High Value),1.001599634369287,4.145106091718001,1579.07
119,Anna Gay,murraydavid@example.org,2020-01-30,Melbourne,Australia,23.0,M,162.0,2,1280.62,640.31,1,4,3,2,Loyal Customers,0.6677330895795247,4.919917864476386,1027.2
120,Dr. Jordan Hill PhD,jsanchez@example.org,2020-03-19,Toronto,Canada,33.0,M,534.0,2,2329.73,1164.86,1,2,3,3,Needs Attention,0.6677330895795247,4.785763175906913,1817.75
121,Thomas Romero,michellehill@example.com,2019-07-25,Vancouver,Canada,34.0,F,40.0,4,5428.73,1357.18,1,5,5,5,Champions,1.3354661791590494,5.437371663244353,4812.43
122,Richard Adams,campbellkenneth@example.net,2019-09-17,Munich,Germany,18.0,M,453.0,2,3466.47,1733.24,1,2,3,4,Needs Attention,0.6677330895795247,5.28952772073922,2989.4
123,Mary Grimes,wryan@example.com,2022-07-30,Chicago,USA,22.0,M,271.0,4,38698.77,9674.69,1,3,5,5,Loyal Customers,1.3354661791590494,2.42299794661191,15287.22
124,Kimberly Gibson,molly39@example.com,2020-11-28,Berlin,Germany,19.0,F,220.0,2,2838.44,1419.22,1,3,3,4,Loyal Customers,0.6677330895795247,4.090349075975359,1892.86
125,Reginald Williams,zthornton@example.com,2021-03-31,Los Angeles,USA,20.0,F,165.0,2,1275.08,637.54,1,4,3,2,Loyal Customers,0.6677330895795247,3.753593429158111,780.3
126,Matthew Hoover,tylerjohnson@example.net,2022-02-26,Singapore,Singapore,21.0,M,484.0,4,6454.51,1613.63,1,2,5,5,At Risk (High Value),1.3354661791590494,2.844626967830253,2993.42
127,Evelyn Garcia,dgarcia@example.org,2022-05-05,Paris,France,30.0,M,126.0,2,893.86,446.93,1,4,3,2,Loyal Customers,0.6677330895795247,2.6584531143052703,387.42
128,Jennifer Pena,charlesharrington@example.com,2023-10-28,Vancouver,Canada,43.0,M,294.0,1,782.81,782.81,1,3,1,2,Needs Attention,0.33386654478976235,1.1772758384668036,150.25
129,Michael Santos,melissa86@example.com,2019-07-23,Melbourne,Australia,56.0,F,566.0,2,560.54,280.27,1,2,3,2,Needs Attention,0.6677330895795247,5.4428473648186175,497.41
130,Stacy Freeman,williamsonjimmy@example.net,2022-02-04,Chicago,USA,,M,865.0,1,1959.66,1959.66,1,1,1,3,Needs Attention,0.33386654478976235,2.9048596851471595,928.08
131,Yolanda Francis,wgood@example.net,2019-03-08,Vancouver,Canada,34.0,F,42.0,3,8848.0,2949.33,1,5,4,5,Champions,1.001599634369287,5.817932922655715,8392.51
132,Ashlee Jackson,rebecca05@example.org,2020-04-23,Sydney,Australia,66.0,M,165.0,4,6780.56,1695.14,1,4,5,5,Champions,1.3354661791590494,4.689938398357289,5184.55
133,James Thomas,yknight@example.org,2021-05-20,Toronto,Canada,50.0,F,517.0,4,4511.2,1127.8,1,2,5,5,At Risk (High Value),1.3354661791590494,3.6167008898015056,2660.01
134,Bob Pitts,tyleraguilar@example.org,2019-05-27,Chicago,USA,26.0,M,1040.0,1,1716.28,1716.28,1,1,1,3,Needs Attention,0.33386654478976235,5.598904859685147,1566.64
135,David Scott,nolansteven@example.com,2020-08-14,Bangkok,Thailand,23.0,F,301.0,2,1280.4,640.2,1,3,3,2,Loyal Customers,0.6677330895795247,4.380561259411362,914.44
136,Brooke Alexander,vanessa46@example.net,2021-10-21,Vancouver,Canada,47.0,M,904.0,1,598.38,598.38,1,1,1,2,Hibernating/Lost,0.33386654478976235,3.1950718685831623,311.7
137,Ryan Gonzalez,gcastaneda@example.org,2020-10-22,Melbourne,Australia,,M,173.0,3,5579.49,1859.83,1,4,4,5,Champions,1.001599634369287,4.191649555099247,3812.92
138,Ian Phillips,andrew64@example.org,2022-03-24,Mumbai,India,17.0,F,452.0,1,932.57,932.57,1,2,1,2,Hibernating/Lost,0.33386654478976235,2.7734428473648185,421.68
139,Melissa Garner,lozanojulie@example.com,2023-04-12,New York,USA,46.0,F,309.0,1,1204.93,1204.93,1,3,1,2,Needs Attention,0.33386654478976235,1.7221081451060918,338.3
140,Crystal Pham,danaoliver@example.net,2021-06-11,Paris,France,68.0,F,408.0,2,2053.08,1026.54,1,2,3,3,Needs Attention,0.6677330895795247,3.5564681724845997,1190.43
141,Patricia Becker,courtneyberger@example.net,2020-10-19,London,UK,70.0,M,499.0,3,6753.83,2251.28,1,2,4,5,At Risk (High Value),1.001599634369287,4.199863107460644,4624.49
142,Richard Johnson,jessica14@example.com,2024-04-19,Sydney,Australia,68.0,F,38.0,4,5365.85,1341.46,1,5,5,5,Champions,1.3354661791590494,0.7008898015058179,613.15
144,Terry Coffey,julie51@example.com,2023-11-16,Sydney,Australia,45.0,F,120.0,1,493.27,493.27,1,4,1,2,New/Promising,0.33386654478976235,1.1252566735112937,90.49
145,Brenda Levy,zcoffey@example.net,2021-10-17,Singapore,Singapore,44.0,M,49.0,3,4338.07,1446.02,1,5,4,5,Champions,1.001599634369287,3.2060232717316905,2267.46
146,Richard Smith,gibsonemily@example.net,2020-08-12,Bangkok,Thailand,72.0,,986.0,1,311.75,311.75,1,1,1,1,Hibernating/Lost,0.33386654478976235,4.386036960985626,222.92
147,James Little,daniel37@example.org,2023-06-25,Paris,France,61.0,M,80.0,2,1770.69,885.34,1,5,3,3,Loyal Customers,0.6677330895795247,1.5195071868583163,438.65
148,Terri Murphy,deborahreid@example.com,2020-04-05,Los Angeles,USA,45.0,F,48.0,2,618.73,309.36,1,5,3,2,Loyal Customers,0.6677330895795247,4.739219712525667,478.06
149,Elizabeth Ortiz,brandonjohnson@example.com,2023-01-07,Bangkok,Thailand,48.0,M,126.0,2,2134.55,1067.28,1,4,3,3,Loyal Customers,0.6677330895795247,1.9822039698836413,689.82
150,David Medina,qchavez@example.net,2020-05-14,Berlin,Germany,51.0,M,527.0,2,2342.28,1171.14,1,2,3,3,Needs Attention,0.6677330895795247,4.632443531827516,1769.0
151,Kimberly Matthews,nicolepena@example.com,2023-12-06,Melbourne,Australia,71.0,M,337.0,1,902.99,902.99,1,3,1,2,Needs Attention,0.33386654478976235,1.0704996577686516,157.6
152,Teresa Ramirez,jeff73@example.com,2024-03-28,London,UK,33.0,F,37.0,5,4114.75,822.95,1,5,5,5,Champions,1.6693327239488118,0.7611225188227242,510.59
154,Samantha Davis,darleneharper@example.org,2023-04-12,Munich,Germany,40.0,F,19.0,3,880.99,293.66,1,5,4,2,Loyal Customers,1.001599634369287,1.7221081451060918,247.35
155,Gavin Zhang,caseyhubbard@example.org,2020-05-04,Melbourne,Australia,40.0,F,750.0,1,1348.01,1348.01,1,1,1,2,Hibernating/Lost,0.33386654478976235,4.659822039698836,1024.1
156,Robin Hall,kristinacarlson@example.com,2021-08-26,Melbourne,Australia,40.0,M,3.0,3,1893.98,631.33,1,5,4,3,Loyal Customers,1.001599634369287,3.34839151266256,1033.93
157,Brianna Anderson,lauren10@example.org,2021-10-11,Chicago,USA,24.0,M,230.0,2,1829.83,914.92,1,3,3,3,Loyal Customers,0.6677330895795247,3.2224503764544834,961.34
159,Kelly Reese,xwest@example.net,2023-11-19,Manchester,UK,25.0,F,259.0,2,877.25,438.62,1,3,3,2,Loyal Customers,0.6677330895795247,1.1170431211498972,159.76
160,Jodi Walker,acostaregina@example.net,2022-11-19,Paris,France,57.0,M,86.0,3,1323.74,441.25,1,4,4,2,Loyal Customers,1.001599634369287,2.116358658453114,456.74
162,Katherine Browning,lammarc@example.org,2022-06-18,New York,USA,31.0,,15.0,3,6641.14,2213.71,1,5,4,5,Champions,1.001599634369287,2.537987679671458,2747.96
163,Donald Schultz,oscar98@example.com,2019-07-05,Melbourne,Australia,22.0,F,439.0,3,13986.1,4662.03,1,2,4,5,At Risk (High Value),1.001599634369287,5.492128678986996,12523.2
164,Larry Garcia,farrelldebra@example.net,2022-11-22,Chicago,USA,,F,521.0,2,3811.8,1905.9,1,2,3,4,Needs Attention,0.6677330895795247,2.108145106091718,1310.11
165,Cindy Hayes,robertwilcox@example.com,2021-02-06,London,UK,25.0,M,184.0,2,1516.26,758.13,1,4,3,3,Loyal Customers,0.6677330895795247,3.898699520876112,963.77
166,Brandon Simmons,nicholas27@example.org,2019-12-15,Chicago,USA,21.0,M,186.0,2,2188.81,1094.4,1,4,3,3,Loyal Customers,0.6677330895795247,5.045859000684462,1800.61
167,Bradley Reynolds,lisa80@example.net,2024-02-13,Berlin,Germany,25.0,F,111.0,2,3412.1,1706.05,1,4,3,4,Loyal Customers,0.6677330895795247,0.8815879534565366,490.42
168,Kristina Santiago,qgomez@example.com,2019-01-20,Sydney,Australia,73.0,F,182.0,1,534.21,534.21,1,4,1,2,New/Promising,0.33386654478976235,5.946611909650924,517.92
